Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,4,"C1-C2,C4,C10",10u,Digikey 495-2200-2-ND,
Capacitors,4,"C3,C5,C9,C11",1n,Farnell 499-134,
Capacitors,3,C6-C8,22pf,Digikey 478-1564-1-ND,
Capacitors,1,C28,1.5u,Digikey PCC2232TR-ND,
Resistors,1,R1,10K,Digikey P1.0KGTR-ND,
Resistors,1,R2,3K,Digikey P1.2KZTR-ND,
Resistors,1,R3,6K,Digikey P1.2KZTR-ND,
Resistors,2,R4-R5,1K,Digikey 311-330HTR-ND,
Resistors,11,"R6-R9,R14-R15,R18,R20-R23",10K,Digikey 311-330HTR-ND,
Resistors,4,"R10-R11,R13,R91",270,Digikey P1.2KZTR-ND,
Resistors,2,"R26,R29",470,Digikey P1.00MHTR-ND,
Resistors,2,R30-R31,27R,Digikey P1.00MHTR-ND,
Resistors,1,R32,100K,Digikey P1.2KZTR-ND,
Resistors,1,R33,10K,Digikey P1.2KZTR-ND,
Integrated Circuits,1,U1,XB24CZ7PIS-004,,
Integrated Circuits,1,U2,AMS1117,,
Integrated Circuits,1,U3,ATMEGA328P_32PIN,,
Integrated Circuits,2,U4-U5,FAN8082,,
Integrated Circuits,1,U30,FT232RL,,
Transistors,4,Q1-Q4,BC847B,,
Diodes,8,"D1-D5,D7,D11,D13",LED,,
Diodes,1,D8,SS0520,Digikey SS0520-ND,
Miscellaneous,1,F1,500mA,Digikey P1.2KZTR-ND,
Miscellaneous,1,J1,USB MINI-8 SMT,,
Miscellaneous,7,"J2,J4-J8,J10",CONN-SIL2,,
Miscellaneous,3,"J3,J11,J14",CONN-DIL6,,
Miscellaneous,1,SW1,BUTTON2,,
Miscellaneous,1,X2,CRYSTAL,,
